ID,duenho,tipo,tiempo
75,Blayne,BMX,72
98,Sancho,BMX,75
92,Keri,BMX,87
78,Fern,BMX,93
77,Zorine,BMX,94
88,Spenser,BMX,94
52,Hyacinthia,BMX,96
54,Gayler,BMX,106
76,Becki,BMX,111
51,Falito,BMX,111
57,Kania,BMX,119
100,Violet,BMX,119
60,Sylvan,BMX,120
58,Damara,MTB,77
59,Ellerey,MTB,78
93,Richmound,MTB,80
94,Dorree,MTB,80
68,Jobie,MTB,84
89,Rollins,MTB,88
91,Buiron,MTB,93
62,Avis,MTB,111
79,Kalila,MTB,116
97,Christi,MTB,117
87,Izabel,PASEO,80
85,Laurens,PASEO,94
96,Torie,PASEO,97
73,Giorgio,PASEO,102
63,Herrick,PASEO,105
82,Lisa,PASEO,106
84,Shea,PASEO,107
74,Karrah,PASEO,108
99,Somerset,PASEO,110
80,Celle,PASEO,111
70,Jenda,PASEO,111
64,Rolph,PASEO,113
71,Lynea,PASEO,115
72,Henriette,PASEO,120
95,Essie,PLAYERA,79
86,Alla,PLAYERA,82
53,Mauricio,PLAYERA,83
65,Kirbee,PLAYERA,86
83,Adams,PLAYERA,88
90,Sol,PLAYERA,89
56,Monique,PLAYERA,92
81,Auberta,PLAYERA,94
66,Jimmie,PLAYERA,108
55,Warren,PLAYERA,112
67,Buddie,PLAYERA,114
61,Shannon,PLAYERA,117
69,Lothario,PLAYERA,120
